ResellerKey	Business Type	Reseller	City	State-Province	Country-Region
163	Warehouse	Sports Merchandise	Klamath Falls	Oregon	United States
618	Value Added Reseller	Seventh Bike Store	Plaistow	New Hampshire	United States
584	Warehouse	Qualified Sales and Repair Services	Savannah	Georgia	United States
293	Warehouse	Fashionable Bikes and Accessories	Park City	Utah	United States
513	Specialty Bike Shop	Village Tours	Newport	Kentucky	United States
622	Specialty Bike Shop	Gift and Toy Store	Tuscola	Illinois	United States
 260	Warehouse	Industrial Supplies	Miami	Florida	United States 
32	Specialty Bike Shop	Precision Gears Inc.	Stuttgart	Saarland	Germany
478	Warehouse	Major Cycling	Richmond	British Columbia	Canada
509	Value Added Reseller	Fun Toys and Bikes	Tucson	Arizona	United States
647	Warehouse	Solid Bike Parts	Arlington	Texas	United States
613	Specialty Bike Shop	Famous Bike Shop	Vancouver	Ontario	Canada
475	Warehouse	Real Sporting Goods	Phoenix	Arizona	United States
 443	Value Added Reseller	Courteous Bicycle Specialists	Richmond Hill	Ontario	Canada 
520	Warehouse	Metro Metals Co.	London	England	United Kingdom
289	Specialty Bike Shop	Moderately-Priced iBkes Store	Renton	Washington	United States
654	Value Added Reseller	Online Bike Warehouse	Aurora	Ontario	Canada
644	Warehouse	Convenient Sales and Service	Springfield	Oregon	United States
129	Specialty Bike Shop	Discount Bicycle Specialists	Wood Dale	Illinois	United States
""
200	Value Added Reseller	Basic Bike Company	Port Orchard	Washington	United States
367	Value Added Reseller	Brown Bicycle Company	San Diego	California	United States
665	Specialty Bike Shpo	Authentic Sales and Service	London	England	United Kingdom
36	Warehouse	Exotic Bikes	South Bend	Indiana	United States
262	Specialty Bike Shop	General Industries	Calgary	Alberta	Canada
485	Value Added Reseller	Clamps & Brackets Co.	Leesburg	Virginia	United States
588	Value Added Reseller	General Cycle Storehouse	Burnaby	British Columbia	Canada
645	Value Added Reseller	Superior Hardware Distributors	Baeverton	Oregon	United States
209	Value Added Reseller	Purple Bicycle Company	Scarborough	Ontario	Canada
 229	Specialty Bike Shop	Instant Cycle Store	Colombes	Hauts de Seine	France 
68	Specialty Bike Shop	North Bike Company	Muehlheim	Hamburg	Germany
22	Value Added Reseller	Travel Systems	North Sioux City	South Dakota	United States
 674	Specialty Bike Shop	Discount Tours	Daly City	California	United States 
222	Value Added Reseller	Sample Bike Store	Denver	Colorado	United States
587	Warehouse	Our Sporting Goods Store	Ottawa	Ontario	Canada
540	Specialty Bike Shop	Guaranteed Sales and Service	Burbank	Ohio	United States
224	Warehouse	Pedal Systems Company	Florence	Alabama	United States
231	Value Added Reseller	Helmets and Cycles	Lavender Bay	New South Wales	Australia
677	Specialty Bike Shop	Tire Exchange	Ottawa	Ontario	Canada
622	Specialty Bike Shop	Gift and Toy Store	Tuscola	Illinois	United States
124	Warehouse	Nearby Sporting Goods	W. York	England	United Kingdom
518	Value Added Reseller	Regional Cycle Shop	Berlin	Hessen	Germany
440	Value Added Reseller	Hobby Store	Orlando	Florida	United States
289	Specialty Bike Shop	Moderately-Priced Bikes Store	Renton	Washington	United States
501	Specialty Bike Shop	Jumbo Bikes	Malabar	New South Wales	Australia
31	Value Added Reseller	Wheels Inc.	Paris	Seine (Paris)	France
695	Specialty Bike Shop	Responsible Bike Dealers	Kansas City	Missouri	United States
163	Warehouse	Sports Mercahndise	Klamath Falls	Oregon	United States
214	Warehouse	Exclusive Bicycle Mart	Lancaster	England	United Kingdom
177	Specialty Bike Shop	Plastic Products Manufacturers	Hawthorne	Queensland	Australia
672	Warehouse	Utilitarian Sporting Goods	Ogden	Utah	United States
479	Value Addde Reseller	General Supplies	Ville De'anjou	Quebec	Canada
519	Specialty Bike Shop	List Price Catalog Company	Melbourne	Victoria	Australia
608	Warehouse	Golf and Cycle Store	La Mesa	California	United States
626	Warehouse	Retail Sporting Goods	Las Vegas	Nevada	United States
652	Specialty Bike Shop	Selected Distributors	Marietat	Georgia	United States
629	Warehouse	Efficient Cycling	Calgary	Alberta	Canada
31	Value Added Reseller	Wheels Inc.	Paris	Seine (Paris)	France
563	Warehouse	Systematic Sales	Gilbert	Arizona	United States
70	Value Added Reseller	Outdoor Aerobic Systems Company	London	England	United Kingdom
""
333	Warehouse	Resident Cycle Shop	Hixson	Tennessee	United States
65	Specialty Bike Shop	Metro Manufacturing	Weston	Ontario	Canada
""
98	Specialty Bike Shop	Superlative Bikes	Miami	Florida	United States
""
""
233	Warehouse	Fasihonable Department Stores	New Hartford	New York	United States
109	Value Added Reseller	Travel Sports	Issaquah	Washington	United States
""
""
246	Value Added Reseller	Large Bike Shop	Montreal	Quebec	Canada
404	Specialty Bike Shop	Activity Center	Crossville	Tennessee	United States
422	Specialty Bike Shop	Consolidated Sales	Gaffney	South Carolina	United States
599	Warehouse	Westside Plaza	Sand City	California	United States
640	Specialty Bike Shop	Liquidation Sales	Perth	South Australia	Australia
361	Value Added Reseller	Fitness Supplies	Sequim	Washington	United States
230	Warehouse	Global Bike Retailers	Bad Soden	Hessen	Germany
393	Warehouse	Gears and Parts Company	Milsons Point	New South Wales	Australia
344	SpecialtyB ike Shop	Fifth Bike Store	Everett	Washington	United States
161	Value Added Reseller	Weekend Tours	Fort Wayne	Indiana	United States
418	Warehouse	Getaway Inn	Saint Ouen	Loir et Cher	France
138	Specialty Bike Shop	South Bike Company	Vancouver	British Columbia	Canada
""
259	Specialty Bike Shop	Highway Bike Shop	Simi Valley	California	United States
91	Valu eAdded Reseller	Scooters and Bikes Store	Beaverton	Oregon	United States
280	Specialty Bike Shop	Standard Bikes	Barrie	Ontario	Canada
669	Warehouse	Racing Bike Outlet	Federal Way	Washington	United States
122	Value Added Reseller	Off-Price Bike Center	Berlin	Hessen	Germany
184	Warehouse	Go-cart and Bike Specialists	Carrollton	Texas	United States
""
28	Value Added Reseller	Commuter Bicycle Store	Toronto	Ontario	Canada
215	Value Added Reseller	Eleventh Bike Store	Westport	Connecticut	United States
57	Warehouse	Leading Sales & Repair	West Chicago	Illinois	United Sattes
159	Specialty Bike Shop	Uncompromising Quality Co	North Ryde	New South Wales	Australia
701	Warehouse	Future Bikes	Calgary	Alberta	Canada
158	Value Added Reseller	Rural Sporting Goods	Bonn	Nordrhein-Westfalen	Germany
132	Specialty Bike Shop	Another Sporting Goods Company	Westminster	Colorado	United States
625	Specialty Bike Shop	Major Sporting Goods	Chandler	Arizona	United States
 204	Specialty Bike Shop	Traction Tire Company	Torrance	California	United States 
394	Value Added Reseller	Little Sports Center	York	England	United Kingdom
284	Warehouse	Nearby Bike Mall	Berlin	Nordrhein-Westfalen	Germany
554	Warehouse	Top of the Line Bikes	Paderborn	Hamburg	Germany
168	Specialty Bike Shop	Economy Bikes Company	Bell Gardens	California	United States
333	Wraehouse	Resident Cycle Shop	Hixson	Tennessee	United States
""
""
 233	Warehouse	Fashionable Department Stores	New Hartford	New York	Unite dStates 
""
128	Value Added Reseller	Demand Distributors	Wenatchee	Washington	United States
152	Value Added Reseller	Distance Bikes	Clarkston	Georgia	United States
16	Value Added Reseller	Bulk Discount Store	London	England	United Kingdom
301	Specialty Bike Shop	Rural Mountain Bike Mart	Paris	Seine (Paris)	France
549	Value Added Reseller	Daring Rides	Clearwater	Florida	United States
339	Warehouse	Major Bicycle Store	Matraville	New South Wales	Australia
""
82	Value Added Reseller	Refined Department Stores	Vancouver	British Columbia	Canada
381	Warehouse	Bicycle Lines Distributors	Saint Louis	Missouri	United States
221	Warehouse	Bike Dealers Association	Las Cruces	New Mexico	United States
391	Value Added Reseller	Pretty Bikes and Toys	Paris	Seine (Paris)	France
144	Specialty Bike Shop	Only Bikes and Accessories	New York	New York	United States
""
594	Value Added Reseller	Casual Bicycle Store	Nashua	New Hampshire	United States
466	Warehouse	Central Bicycle Specialists	Maidenhead	England	United Kingdom
558	Value Added Reseller	Retail Sales and Service	Tilton	New Hampshire	United States
445	Warehouse	First Center	Pantin	Seine Saint Denis	France
""
279	Value Added Reseller	Reliable Brake Systems	Memphis	Tennessee	United States
632	Warehouse	Ultimate Bicycle Company	Morangis	Essonne	France
322	Specialty Bike Shop	Tachometers and Accessories	Milton Keynes	England	United Kingdom
134	Value Added Reseller	Budget Bike Company	Millington	Tennessee	United States
20	Specialty Bike Shop	Central Discount Store	Kent	Washington	United States
447	Specialty Bike Shop	Cross-town Parts Shop	Springwood	New South Wales	Australia
476	Value Added Reseller	Noiseless Gear Company	Columbus	Georgia	United States
 426	Warehouse	Custom Accessories Company	Brampton	Ontario	Canada 
339	Warehouse	Major Bicycle Store	Matraville	New South Wales	Australia
629	Warehouse	Efficient Cycling	Calgary	Alberta	Canada
444	Specialty Bike Shop	Finer Cycle Shop	Calgary	Alberta	Canada
546	Value Added Reseller	Field Trip Store	Loveland	Colorado	United States
40	Value Added Reseller	Journey Sporting Goods	Laredo	Texas	United States
551	Warehouse	Vinyl and Plastic Goods Corporation	Toronto	Ontario	Canada
265	Specialty Bike Shop	Full Sports Supply	Paris	Seine (Paris)	France
312	Value Added Reseller	Resale Services	Culver City	California	United States
34	Value Added Reseller	Cycles Wholesaler & Mfg.	Warrington	England	United Kingdom
340	Value Added Reseller	Nearby Cycle Shop	West Sussex	England	United Kingdom
474	Specialty Bike Shop	Retail Cycle Shop	Eureka	California	United States
116	Value Added Reseller	Retirement Activities Association	Atlanta	Georgia	United States
174	Specialty Bike Shop	Toy Manufacturing Inc	Surrey	British Columbia	Canada
66	Warehouse	Neighborhood Store	Burnaby	British Columbia	Canada
82	Value Added Reseller	Refined Department Stores	Vancouver	British Columbia	Canada
42	Warehouse	Healthy Activity Store	Newport Beach	California	United States
653	Warehouse	Mercantile Outlet	Toronto	Ontario	Canada
246	Value Added Reseller	Large Bike Shop	Montreal	Quebec	Canada
12	Warehouse	Bikes and Motorbikes	Tornoto	Ontario	Canada
238	Specialty Bike Shop	A Great Bicycle Company	Jefferson City	Missouri	United States
""
555	Value Added Reseller	Twin Cycles	Darlinghurst	New South Wales	Australia
350	Specialty Bike Shop	Mountain Emporium	Nashville	Tennessee	United States
183	Specialty Bike Shop	This Area Sporting Goods	Chicago	Illinois	United States
86	Specialty Bike Shop	Bicycle Exporters	Essen	Hamburg	Germany
365	Specialty Bike Shop	Distinctive Store	Barstow	California	United States
""
698	Specialty Bike Shop	Western Bike Supplies	Cedar City	Utah	United States
95	Specialty Bike Shop	Rural Department Store	Pleasanton	California	United States
408	Warehouse	Odometers and Accessories Company	Richmond	British Columbia	Canada
337	Value Added Reseller	Recreation Toy Store	Paris La Defense	Hauts de Seine	France
539	Value Added Reseller	Glossy Bikes	Lake George	New York	United States
""
640	Specialty Bike Shop	Liquidation Sales	Perth	South Australia	Australia
396	Warehouse	Executive Gift Store	New Castle	Indiana	United States
437	Value Added Reseller	Professional Cycle Store	Phoenix	Arizona	United States
434	Specialty Bike Shop	Road-Way Mart	Missoula	Montana	United States
38	Specialty Bike Shop	Finer Mart	Billings	Montana	United States
635	Warehouse	Sports Store	Cambridge	England	United Kingdom
483	Specialty Bike Shop	Fitness Bike Accessories	Rhodes	New South Wales	Australia
271	Specialty Bike Shop	Alternative Vehicles	Wasohugal	Washington	United States
681	Warehouse	Showcase for Cycles	Sulzbach Taunus	Saarland	Germany
210	Specialty Bike Shop	Gasless Cycle Shop	TorontoO	ntario	Canada
534	Specialty Bike Shop	Recommenedd Bicycles	Mississauga	Ontario	Canada
691	Value Added Reseller	Mountain Bike Store	New Haven	Connecticut	United States
280	Specialty Bike Shop	Standard Bikes	Barrie	Ontario	Canada
617	Warehouse	Tubeless Tire Company	Oxford	England	United Kingdom
420	Warehouse	Extreme Riding Supplies	Sherman Oaks	California	United States
98	Specialty Bike Shop	Superlative Bikes	Miami	Florida	United States
22	Value Added Reseller	Travel Systems	North Sioux City	South Dakota	United States
""
359	Specialty Bike Shop	Mechanical Sports Center	Cincinnati	Ohio	United States
250	Specialty Bike Shop	Express Bike Services	London	England	United Kingdom
419	Specialty Bike Shop	Exertion Activities Club	Norwalk	California	United States
294	Value Added Reseller	Flawless Bike Shop	Vista	California	United States
""
311	Warehouse	Principal Bike Company	Upland	California	United States
573	Value Added Reseller	Nationwide Supply	Rhodes	New South Wales	Australia
41	Specialty Bike Shop	Distant Inn	Milpitas	California	United States
542	Value Added Reseller	Finer Parts Shop	Kirkland	Washington	United States
519	Specialty Bike Shop	List Price Catalog Company	Melbourne	Victoria	Australia
636	Value Added Reseller	Recreation Systems	Logansport	Indiana	United States
188	Value Added Reseller	Variety Bike Outlet	Miami	Florida	United States
358	Value Added Reseller	Mail Market	York	England	United Kingdom
515	Value Added Reseller	Rural Bicycle Supply	North York	Ontario	Canada
254	Warehouse	Safe Cycles Shop	Bellevue	Washington	United States
604	Specialty Bike Shop	Sellers of Cycles	Clackamas	Oregon	United States
294	Value Added Reseller	Flawless Bike Shop	Vista	California	United States
294	Value Added Reseller	Flawless Bike Shop	Vista	California	United States
46	Value Added Reseller	Gear-Shift Bikes Limited	Calgary	Alberta	Canada
 503	Value Added Reseller	Metropolitan Sales and Rental	Hooksett	New Hampshire	United States 
581	Warehouse	Safe Toys	Rio Rancho	New Mexico	United States
524	Value Added Reseller	Chain and Chain Tool Distributions	Smithfield	North Carolina	United States
13	Value Added Reseller	Country Parts Shop	Les Ulis	Essonne	France
558	Value Added Reseller	Retail Sales and Service	Tilton	New Hampshire	United States
377	Specialty Bike Shop	Grand Sport Boutique	Saginaw	Michigan	United States
580	Specialty Bike Shop	Rural Sales and Service	San Antonio	Texas	United States
63	Warehouse	Metro Bike Mart	Greensboro	North Carolina	United States
454	Warehouse	Sleek Bikes	Denby	South Dakota	United States
223	Specialty Bike Shop	Paints and Solvents Company	Englewood	Colorado	United States
35	Specialty Bike Shop	Economic Parts Supply	West Kingston	Rhode Island	United States
 530	Value Added Reseller	Valuable Bik eParts Company	Orlando	Florida	United States 
336	Warehouse	Primary Bike Distributors	Montreal	Quebec	Canada
57	Warehouse	Leading Sales & Repair	West Chicago	Illinois	United States
153	Specialty Bike Shop	Widget Bicycle Specialists	Clearwater	Florida	United States
648	Value Added Reseller	Small Bike Shop	El Segundo	California	United States
587	Warehouse	Our Sporting Goods Store	Ottawa	Ontario	Canada
182	Value Added Reseller	Another Bicycle Company	Milwaukie	Oregon	United States
6	Warehouse	Aerobic Exercise Company	Camarillo	California	United States
503	Value Added Reseller	Metropolitan Sales and Rental	Hooksett	New Hampshire	United States
419	Specialty Bike Shop	ExertionA ctivities Club	Norwalk	California	United States
280	Specialty Bike Shop	Standard Bikes	Barrie	Ontario	Canada
419	Specialty Bike Shop	Exertion Activities Club	Norwalk	California	United States
75	Warehouse	Paint Supply	Garland	Texas	United States
 664	Value Added Reseller	Eastside Cycle Shop	Melbourne	Victoria	Australia 
204	Specialty Bike Shop	Traction Tire Company	Torrance	California	United States
87	Warehouse	Rich Department Store	Lane Cove	New South Wales	Australia
327	Warehouse	Top Bike Market	Kingston	Ontario	Canada
50	Specialty Bike Shop	Hometown Riding Supplies	Berlin	Brandenburg	Germany
""
157	Warehouse	Ace Bicycle Supply	Paris	Sein e(Paris)	France
449	Value Added Reseller	Bike Products and Accessories	Virginia Beach	Virginia	United States
""
506	Value Added Reseller	Great Bikes	Casper	Wyoming	United States
444	Specialty Bike Shop	Finer Cycle Shop	Calgary	Alberta	Canada
484	Warehouse	Downhill Bicycle pSecialists	Berks	England	United Kingdom
76	Value Added Reseller	Out-of-the-Way Hotels	Wood Dale	Illinois	United States
99	Warehouse	Unified Sports Company	Sarasota	Florida	United States
498	Specialty Bike Shop	Quick Delivery Service	Mississauga	Ontario	Canada
366	Warehouse	Extended Bike Sales	City Of Commerce	California	United States
612	Value Added Reseller	General Associates	Hollywood	Florida	United States
324	Value Added Reseller	A Bicycle Association	De Witt	New Yokr	United States
""
200	Value Added Reseller	Basic Bike Company	Port Orchard	Washington	United States
207	Specialty Bike Shop	Lubricant and Grease Suppliers	Rocky Mount	North Carolina	United States
362	Specialty Bike Shop	Grand Cycle Store	Spokane	Washington	United States
402	Warehouse	Pro Sporting Goods	Camarillo	California	United States
498	Specialty Bike Shop	Quick Delivery Service	Mississauga	Ontario	Canada
216	Specialty Bike Shop	Painters Bicycle Specialists	Waterbury	Connecticut	United States
457	Warehouse	Retail Sporting Equipment	Mesa	Arizona	United States
544	Warehouse	Valley Bicycle Specialists	Kansas City	Missouri	United States
281	Warehouse	Petroleum Products Distributors	Montreal	Quebec	Canada
537	Specialty Bike Shop	Preferable Bikes	Rhodes	New South Wales	Australia
36	Warehouse	Exotic Bikes	South Bend	Indiana	United States
423	Warehouse	Bike Rims Company	Biloxi	Mississippi	United States
581	Warehouse	Safe Toys	Rio Rancho	New Mexico	United States
293	Warehouse	Fashionable Bikes and Accessories	Park City	Utah	United States
698	Specialty Bike Shop	Western Bike Supplies	Cedar City	Utah	United States
334	Value Added Reseller	Retreat Inn	Waterloo	Ontario	Canada
 166	Warehouse	Fitness Toy Store	Garland	Texas	United States 
320	Warehouse	Amalgamated Parts Shop	Frankfurt am Main	Hamburg	Germany
29	Specialty Bike Shop	Cross-Country Riding Supplies	Chalk Riber	Ontario	Canada
423	Warehouse	Bike Rims Company	Biloxi	Mississippi	United States
67	Value Added Reseller	Self-Contained Cycle Parts Company	Verrieres Le Buisson	Essonne	France
528	Specialty Bike Shop	Alpine Ski House	Elk Grove	California	United States
472	Warehouse	Summer Sports Place	Norridge	Illinois	United States
121	Warehouse	Metro Sports Equipment	Saint Ouen	Loir et Cher	France
235	Specialty Bike Shop	Certified Bicycle Supply	Lynnwood	Washington	United States
123	Specialty Bike Shop	First Supplies	North Ryde	New South Wales	Australia
102	Warehouse	National Manufacturing	Toronto	Ontario	Canada
123	Specialty Bike Shop	First Supplies	North Ryde	New SouthW ales	Australia
62	Specialty Bik eShop	Manufacturers Inc	Nashville	Tennessee	United States
108	Warehouse	Wheelsets Storehouse	Kittery	Maine	United States
83	Specialty Bike Shop	Requisite Part Supply	Ottawa	Ontario	Canada
496	Warehouse	Top Sports Supply	Edmonton	Alberta	Canada
218	Value Added Reseller	Sure & Reliable Sporting Goods	Longview	Washington	United States
216	Specialty Bike Shop	Painters Bicycle Specialists	Waterbury	Connecticut	Uinted States
137	Value Added Reseller	Transportation Options	Calgary	Alberta	Canada
""
518	Value Added Reseller	Regional Cycle Shop	Berlin	Hessen	Germany
 24	Warehouse	Eastside Department Store	Union City	California	United States 
445	Warehouse	First Center	Pantin	Seine Saint Denis	France
555	Value Added Reseller	Twin Cycles	Darlinghurst	New South Wales	Australia
493	Warehouse	Valley Bicycle Distributors	Citrus Heights	California	United States
618	Value Added Reseller	Seventh Bike Store	Plaistow	New Hampshire	United States
""
30	Warehouse	Cycle Merchants	Quebec	Quebec	Canada
500	Value Added Reseller	Irregulars Outlet	Dresden	Hessen	Germany
89	Specialty Bike Shop	Riverside Company	Oberlin	Ohio	United States
423	Warehouse	Bike Rims Company	Biloxi	Mississippi	United States
249	Value Added Reseller	Helpful Sales and Repair Service	Seaford	Victoria	Australia
434	Specialty Bike Shop	Road-Way Mart	Missoula	Montana	United States
531	Specialty Bike Shop	Sunny Place Bikes	Vero Beach	Florida	United States
328	Value Added Reseller	Totes & Baskets Company	San Antonio	Texas	United States
""
357	Warehouse	Quality Bike Sales	Findon	South Australia	Australia
305	Warehouse	Professional Sporting Goods	Michigan City	Indiana	United States
350	Specialty Bike Shop	Mountain Emporium	Nashville	Tennessee	United States
544	Warehouse	Valley Bicycle Specialists	Kansas City	Missouri	United States
554	Warehouse	Top of the Line Bikes	Paderborn	Hamburg	Germany
484	Warehouse	Downhill Bicycle Specialists	Berks	England	United Kingdom
""
535	Warehouse	Spa and Exercise Outfitter	sCergy	Val d'Oise	France
 86	Speicalty Bike Shop	Bicycle Exporters	Essen	Hamburg	Germany 
32	Specialty Bike Shop	Precision Gears Inc.	Stuttgart	Saarland	Germany
""
181	Warehouse	Family Entertainment Center	Clackamas	Oregon	United States
""
680	Specialty Bike Shop	Racing Tours	Sèvres	Hauts de Seine	France
113	Value Added Reseller	Trendy Department Stores	Fonatna	California	United States
45	Warehouse	Every Bike Shop	La Vergne	Tennessee	United States
338	Specialty Bike Shop	Rambling Tours	Stuttgart	Saarland	Germany
""
 237	Value Added Reseller	Client Discount Store	Chicago	Illinois	United States 
134	Value Added Reseller	Budget Bike Company	Millington	Tennessee	United States
138	Specialty Bike Shop	South Bike Company	Vancouver	British Columbia	Canada
1	Value Added Reseller	A Bike Store	Seattle	Washington	United States
581	Warehouse	Safe Toys	Rio Rancho	New Mexico	United States
445	Warehouse	First Center	Pantin	Seine Saint Denis	France
130	Warehouse	Elite Bkies	Dallas	Texas	United States
477	Specialty Bike Shop	Quitting Business Distributors	Tampa	Florida	United States
88	Value Added Reseller	Closest Bicycle Store	Milton Keynes	England	United Kingdom
212	Value Added Reseller	Enterprise Center	München	Hessen	Germany
22	Value Added Reseller	Travel Systems	North Sioux City	South Dakota	United States
364	Value Added Reseller	District Mall	Ferguson	Missouri	United States
615	Value Added Reseller	Fast Services	Leipzig	Nordrhein-Westfalen	Germany
656	Specialty Bike Shop	Impervious Paint Company	Paris	Seine (Paris)	France
138	Specialty Bike Shop	South Bike Company	Vancouver	British Columbia	Canada
692	Specialty Bike Shop	Successful Sales Company	Tigard	Oregon	United States
557	Warehouse	Purchase Mart	Wrentham	Massachusetts	United States
525	Specialty Bike Shop	Cycles and Scooters	Byron	Georgia	United States
230	Warehouse	Global Bike Retailers	Bad Soden	Hessen	Germany
581	Warehouse	Safe Toys	Rio Rancho	New Mexico	United States
231	Value Added Reseller	Helmets and Cycles	Lavender Bay	New South Wales	Australia
391	Value Added Reseller	Pretty Bikes and Toys	Paris	Seine (Paris)	France
377	Specialty Bike Shop	Grand Sport Boutique	Saginaw	Michigan	United States
127	Warehouse	Front Sporting Goods	Redmond	Washington	United States
310	Specialty Bike Shop	Orange Bicycle Company	Peoria	Illinois	United States
454	Warehouse	Sleek Bikes	Denby	South Dakota	United States
643	Specialty Bike Shop	Friendly Bike Shop	Port Huron	Michigan	United States
433	Value Added Reseller	Thorough Parts and Repair Services	Lacey	Washington	United States
627	Value Added Reseller	Exchange Parts Inc.	Raleigh	North Carolina	United States
189	Specialty Bike Shop	Principal Bicycle Supply	Mobile	Alabama	United States
654	Value Added Reseller	Online Bike Warehouse	Aurora	Ontario	Canada
640	Specialty Bike Shop	Liquidation Sales	Perth	South Australia	Australia
""
678	Warehouse	Vigorous Exercise Company	Toronto	Ontario	Canada
582	Value Added Reseller	Professional Sales and Service	Van Nuys	California	United States
 326	Warehouse	Year-Round Sports	Kent	Washington	United States 
613	Specialty Bike Shop	Famous Bike Shop	Vancouver	Ontario	Canada
483	Specialty Bike Shop	Fitness Bike Accessories	Rhodes	New South Wales	Australia
617	Warehouse	Tubeless Tire Company	Oxford	England	United Kingdom
686	Specialty Bike Shop	Finished Parts Shop	Suresnes	Hauts de Seine	France
331	Value Added Reseller	Technical Parts Manufacturing	Ontario	California	United States
624	Value Added Reseller	First Cycle Store	Scottsdale	Arizona	United States
370	Value Added Reseller	Acceptable Sales & Service	Calgary	Alberta	Canada
583	Specialty Bike Shop	Professional Containers and Packaging Co.	Surprise	Arizona	United States
569	Warehouse	Designated Distributors	Nepean	Ontario	Canada
412	Value Added Reseller	Leisure Clearing House	Birmingham	England	United Kingdom
653	Warehosue	Mercantile Outlet	Toronto	Ontario	Canada
541	Warehouse	Nonskid Tire Company	Great Falls	Montana	United States
407	Specialty Bike Shop	Workout Emporium	Montreal	Quebec	Canada
102	Warehouse	National Manufacturing	Toronto	Ontario	Canada
209	Value Added Reseller	Purple Bicycle Company	Scarborough	Ontario	Canada
557	Warehouse	Purchase Mart	Wrentham	Massachusetts	United States
558	Value Added Reseller	Retail Sales and Service	Tilton	New Hampshire	United States
18	Warehouse	Catalog Store	Zeeland	Michigan	United States
91	Value Added Reseller	Scooters adn Bikes Store	Beaverton	Oregon	United States
""
675	Warehouse	Bike Goods	North Miami Beach	Florida	United States
60	Warehouse	Main Bicycle Services	Hayward	California	United States
516	Specialty Bike Shop	Seats and Saddles Company	Kingston	Ontario	Canada
""
421	Value Added Reseller	Fitness Cycling	Whittier	California	United States
218	Value Added Reseller	Sure & Reliable Sporting Goods	Longview	Washington	United States
667	Value Added Reseller	Traditional Department Stores	Valley Stream	New York	United States
601	Specialty Bike Shop	Transport Bikes	Sandy	Utah	United States
694	Value Added Reseller	The Accessories Store	Medford	Minnesota	United States
571	Specialty Bike Shop	Community Department Stores	Boulogne-sur-Mer	Pas de Calais	France
 565	Specialty Bike Shop	Metallic Paint and Overcoat Co	Vista	California	United States 
76	Value Added Reseller	Out-of-the-Way Hotels	Wood Dale	Illinois	United States
688	Value Added Reseller	Bike Part Wholesalers	Sydney	New South Wales	Australia
270	Value Added Reseller	Active Transport Inc.	North Randall	Ohio	United States
56	Specialty Bike Shop	Latest Accessories Sales	Portland	Oregon	United States
269	Warehouse	Curbside Universe	Euclid	Ohio	United States
393	Warehouse	Gears and Parts Company	Milsons Point	New South Wales	Australia
487	Warehouse	Bike Experts	Salem	Oregno	United States
113	Value Added Reseller	Trendy Department Stores	Fontana	California	United States
111	Specialty Bike Shop	Westside Ccyle Store	Elgin	Illinois	United States
307	Specialty Bike Shop	Riding Associates	Puyallup	Washington	United States
677	Specialty Bike Shop	Tire Exchange	Ottawa	Ontario	Canada
 311	Warehouse	Principal Bike Company	Upland	California	United States 
699	Warehouse	Sensational Discount Store	Kannapolis	North Carolina	United States
37	Value Added Reseller	Two Bike Shops	Puyallup	Washington	United States
513	Specialty Bike Shop	Village Tours	Newport	Kentucky	United States
394	Value Added Reseller	Little Sports Center	York	England	United Kingdom
571	Specialty Bike Shop	Community Department Stores	Boulogne-sur-Mer	Pas de Calais	France
330	Warehouse	The New Bike Store	Hanford	California	United States
487	Warehouse	Bike Experts	Salem	Oregon	United States
546	Value Added Reseller	Field Trip Store	Loveland	Colorado	United States
276	Value Added Reseller	Thrifty Parts and Sales	Oxnard	California	United States
490	Warehouse	Extraordinary Bike Works	Mesquite	Texas	United States
""
679	Value Added Reseller	Superb Sales and Repair	Montreal	Quebec	Canada
39	Warehouse	Fitness Hotel	Edina	Minnesota	United States
681	Warehoues	Showcase for Cycles	Sulzbach Taunus	Saarland	Germany
411	Warehouse	Kids and Adults Cycle Shop	North Sydney	New South Wales	Australia
124	Warehouse	Nearby Sporting Goods	W. York	England	United Kingdom
301	Specialty Bike Shop	Rural Mountain Bike Mart	Paris	Seine (Paris)	France
89	Specialty Bike Shop	Riverside Company	Oberlin	Ohi	oUnited States
654	Value Added Reseller	Online Bike Warehouse	Aurora	Ontario	Canada
""
633	Value Added Reseller	Rustic Bike Store	Augsburg	Bayern	Germany
417	Warehouse	Genuine Bike Shop	San Antonio	Texas	United States
312	Value Added Reseller	Resale Services	Culver City	California	United States
564	Value Added Reseller	Imported and Domestic Cycles	North Las Vegas	Nevada	United States
325	Specialty Bike Shop	All Cycle Shop	Bothell	Washington	United States
127	Warehouse	Front Sporting Goods	Redmond	Washington	United States
116	Value Added Reseller	Retirement Activities Association	Atlanta	Georgia	United States
425	Specialty Bike Shop	Bikes for Kids and Adults	Etobicoke	Ontario	Canada
684	Warehouse	Lease-a-Bike Shop	Milford	Connecticut	United States
270V	alue Added Reseller	Active Transport Inc.	North Randall	Ohio	United States
235	Specialty Bike ShopC	ertified Bicycle Supply	Lynnwood	Washington	United States
367	Value Added Reseller	Brown Bicycle Company	San Diego	Californi	aUnited States
 153	Specialty Bike Shop	Widget Bicycle Specialists	Clearwater	Florida	United States 
95	Specialty Bike Shop	Rural Department Store	Pleasanton	California	Uinted States
153	Specialty Bike Shop	Widget Bicycle Specialists	Clearwater	Florida	United States
337	Value Added Reseller	Recreation Toy Store	Paris La Defense	Hauts de Seine	France
